category,servings,preparation_age_minutes,pickup_window_minutes,packaging_score,priority
Packaged Food,85,9,359,4,Low
Snacks,181,7,654,5,Low
Cooked Meal,23,243,31,5,High
Cooked Meal,64,388,108,5,Medium
Dairy,37,420,397,4,Medium
Dairy,77,313,686,4,Medium
Dairy,202,168,354,2,High
Bakery,53,458,566,2,Medium
Fruits,226,56,500,5,Medium
Dairy,196,127,715,5,Medium
Bakery,210,297,224,5,Medium
Vegetables,102,338,332,5,Medium
Cooked Meal,100,319,178,5,High
Bakery,41,449,517,1,Medium
Fruits,235,187,354,4,Medium
Snacks,66,227,364,4,Medium
Bakery,151,38,220,5,Medium
Vegetables,217,448,285,5,Medium
Bakery,198,351,499,5,Medium
Bakery,125,282,711,2,High
Vegetables,71,465,35,5,High
Vegetables,71,110,223,5,Medium
Bakery,235,434,460,4,Medium
Bakery,222,456,533,4,Medium
Cooked Meal,55,43,719,4,Medium
Packaged Food,218,154,65,5,Medium
Fruits,216,221,669,2,High
Snacks,29,269,604,2,Medium
Dairy,24,363,481,5,Medium
Fruits,156,103,687,4,Medium
Bakery,209,322,240,4,Medium
Cooked Meal,55,410,554,2,High
Bakery,195,460,186,5,Medium
Bakery,49,297,46,5,Medium
Bakery,216,303,439,4,Medium
Vegetables,67,273,203,4,Medium
Vegetables,149,455,592,5,Medium
Vegetables,179,208,422,4,Medium
Packaged Food,23,312,549,5,Low
Dairy,126,302,95,4,High
Fruits,250,167,479,5,Medium
Packaged Food,125,390,244,4,Medium
Fruits,199,163,534,4,Medium
Packaged Food,167,56,651,5,Low
Fruits,222,107,337,4,Medium
Cooked Meal,64,314,476,5,Medium
Cooked Meal,232,461,255,4,Medium
Fruits,192,462,524,1,High
Cooked Meal,237,430,643,5,Medium
Bakery,119,18,585,5,Medium
Bakery,12,245,256,2,Medium
Cooked Meal,195,241,708,5,Medium
Vegetables,245,51,330,5,Medium
Dairy,25,363,521,5,Medium
Dairy,126,302,690,5,Medium
Dairy,40,226,585,2,Medium
Snacks,159,96,107,4,Medium
Vegetables,209,157,87,5,High
Bakery,196,6,43,1,High
Fruits,246,380,304,1,High
Snacks,48,406,482,5,Low
Vegetables,208,469,646,4,Medium
Snacks,68,366,692,5,Medium
Packaged Food,11,411,71,2,High
Snacks,153,460,430,1,Medium
Vegetables,29,474,720,1,Medium
Dairy,140,329,112,1,High
Dairy,181,237,35,5,High
Cooked Meal,55,137,529,5,Medium
Bakery,116,165,677,1,Medium
Bakery,124,193,574,2,High
Dairy,205,116,532,5,Medium
Bakery,64,253,484,5,Medium
Cooked Meal,222,310,308,2,High
Packaged Food,233,422,196,2,High
Vegetables,154,106,549,4,Medium
Snacks,85,74,346,4,Low
Packaged Food,164,37,493,2,Medium
Fruits,105,5,458,4,Medium
Snacks,45,467,431,2,Medium
Packaged Food,97,179,53,2,High
Snacks,193,410,348,1,Medium
Snacks,99,381,559,4,Medium
Bakery,111,189,100,5,Medium
Vegetables,176,240,254,2,High
Fruits,62,264,654,1,Medium
Snacks,50,20,116,5,Low
Cooked Meal,152,429,137,4,High
Cooked Meal,45,274,518,2,Medium
Fruits,130,63,286,4,Medium
Packaged Food,31,153,196,5,Low
Fruits,148,428,409,4,Medium
Packaged Food,190,235,91,1,High
Snacks,177,403,305,5,Medium
Fruits,91,373,220,5,Medium
Dairy,172,240,527,4,Medium
Snacks,202,480,359,5,Medium
Fruits,165,365,299,5,Medium
Bakery,15,450,143,4,Medium
Cooked Meal,119,316,413,2,High
Cooked Meal,241,301,42,4,High
Vegetables,172,242,611,5,Medium
Snacks,32,20,485,4,Low
Packaged Food,154,375,282,5,Medium
Vegetables,204,380,508,5,Medium
Vegetables,162,171,94,4,Medium
Vegetables,224,96,404,4,Medium
Dairy,167,298,586,4,Medium
Vegetables,18,480,329,1,Medium
Snacks,142,232,424,5,Medium
Dairy,87,284,587,4,Medium
Dairy,183,64,550,2,High
Bakery,34,241,608,2,Medium
Packaged Food,154,449,635,4,Medium
Cooked Meal,190,418,672,2,High
Bakery,162,73,407,5,Medium
Snacks,66,144,397,4,Low
Vegetables,136,171,452,5,Medium
Packaged Food,55,177,290,4,Low
Cooked Meal,232,271,592,1,High
Snacks,210,376,620,5,Medium
Snacks,238,464,677,1,Medium
